agency.added_date,agency.agency_id,agency.agency_status,agency.agency_type.agency_type_name,agency.agency_type.default_pop_family,agency.campus,agency.change_timestamp,agency.change_user,agency.city,agency.city.city_name,agency.department,agency.dormant_year,agency.fid_code,agency.field_office.field_office_alpha_code,agency.field_office.field_office_code,agency.field_office.field_office_name,agency.field_office.field_office_numeric_code,agency.judicial_dist_code,agency.legacy_notify_agency,agency.legacy_ori,agency.ncic_agency_name,agency.ori,agency.population_family.population_family_desc,agency.population_family.population_family_name,agency.population_family.sort_order,agency.pub_agency_name,agency.special_mailing_address,agency.special_mailing_group,agency.state.division.division_code,agency.state.division.division_desc,agency.state.division.division_name,agency.state.division.region.region_code,agency.state.division.region.region_desc,agency.state.division.region.region_name,agency.state.state_abbr,agency.state.state_code,agency.state.state_fips_code,agency.state.state_name,agency.state.state_postal_abbr,agency.state.state_pub_freq_months,agency.submitting_agency.agency_email,agency.submitting_agency.agency_name,agency.submitting_agency.agency_website,agency.submitting_agency.comments,agency.submitting_agency.notify_agency,agency.submitting_agency.sai,agency.submitting_agency.state.division.division_code,agency.submitting_agency.state.division.division_desc,agency.submitting_agency.state.division.division_name,agency.submitting_agency.state.division.region.region_code,agency.submitting_agency.state.division.region.region_desc,agency.submitting_agency.state.division.region.region_name,agency.submitting_agency.state.state_abbr,agency.submitting_agency.state.state_code,agency.submitting_agency.state.state_fips_code,agency.submitting_agency.state.state_name,agency.submitting_agency.state.state_postal_abbr,agency.submitting_agency.state.state_pub_freq_months,agency.tribe,agency.ucr_agency_name,arrestees_0.age_num,arrestees_0.age_range_high_num,arrestees_0.age_range_low_num,arrestees_0.age.age_code,arrestees_0.age.age_name,arrestees_0.arrest_date,arrestees_0.arrest_num,arrestees_0.arrest_type,arrestees_0.clearance_ind,arrestees_0.ethnicity,arrestees_0.ethnicity.ethnicity_code,arrestees_0.ethnicity.ethnicity_name,arrestees_0.ethnicity.hc_flag,arrestees_0.ff_line_number,arrestees_0.multiple_indicator,arrestees_0.race.end_year,arrestees_0.race.notes,arrestees_0.race.race_code,arrestees_0.race.race_desc,arrestees_0.race.start_year,arrestees_0.resident_code,arrestees_0.sex_code,arrestees_0.under_18_disposition_code,arrestees_1.age_num,arrestees_1.age_range_high_num,arrestees_1.age_range_low_num,arrestees_1.age.age_code,arrestees_1.age.age_name,arrestees_1.arrest_date,arrestees_1.arrest_num,arrestees_1.arrest_type,arrestees_1.clearance_ind,arrestees_1.ethnicity,arrestees_1.ethnicity.ethnicity_code,arrestees_1.ethnicity.ethnicity_name,arrestees_1.ethnicity.hc_flag,arrestees_1.ff_line_number,arrestees_1.multiple_indicator,arrestees_1.race.end_year,arrestees_1.race.notes,arrestees_1.race.race_code,arrestees_1.race.race_desc,arrestees_1.race.start_year,arrestees_1.resident_code,arrestees_1.sex_code,arrestees_1.under_18_disposition_code,arrestees_2.age_num,arrestees_2.age_range_high_num,arrestees_2.age_range_low_num,arrestees_2.age.age_code,arrestees_2.age.age_name,arrestees_2.arrest_date,arrestees_2.arrest_num,arrestees_2.arrest_type,arrestees_2.clearance_ind,arrestees_2.ethnicity,arrestees_2.ethnicity.ethnicity_code,arrestees_2.ethnicity.ethnicity_name,arrestees_2.ethnicity.hc_flag,arrestees_2.ff_line_number,arrestees_2.multiple_indicator,arrestees_2.race.end_year,arrestees_2.race.notes,arrestees_2.race.race_code,arrestees_2.race.race_desc,arrestees_2.race.start_year,arrestees_2.resident_code,arrestees_2.sex_code,arrestees_2.under_18_disposition_code,arrestees_3.age_num,arrestees_3.age_range_high_num,arrestees_3.age_range_low_num,arrestees_3.age.age_code,arrestees_3.age.age_name,arrestees_3.arrest_date,arrestees_3.arrest_num,arrestees_3.arrest_type,arrestees_3.clearance_ind,arrestees_3.ethnicity,arrestees_3.ff_line_number,arrestees_3.multiple_indicator,arrestees_3.race.end_year,arrestees_3.race.notes,arrestees_3.race.race_code,arrestees_3.race.race_desc,arrestees_3.race.start_year,arrestees_3.resident_code,arrestees_3.sex_code,arrestees_3.under_18_disposition_code,cargo_theft_flag,cleared_except_date,cleared_except.cleared_except_code,cleared_except.cleared_except_name,did,ff_line_number,incident_date,incident_hour,incident_status,injuries_0.injury.injury_code,injuries_0.injury.injury_id,injuries_0.injury.injury_name,injuries_1.injury.injury_code,injuries_1.injury.injury_id,injuries_1.injury.injury_name,offenders_0.age,offenders_0.age_num,offenders_0.age_range_high_num,offenders_0.age_range_low_num,offenders_0.age.age_code,offenders_0.age.age_name,offenders_0.ethnicity,offenders_0.ff_line_number,offenders_0.race,offenders_0.race.end_year,offenders_0.race.notes,offenders_0.race.race_code,offenders_0.race.race_desc,offenders_0.race.start_year,offenders_0.sex_code,offenders_1.age_num,offenders_1.age_range_high_num,offenders_1.age_range_low_num,offenders_1.age.age_code,offenders_1.age.age_name,offenders_1.ethnicity,offenders_1.ff_line_number,offenders_1.race.end_year,offenders_1.race.notes,offenders_1.race.race_code,offenders_1.race.race_desc,offenders_1.race.start_year,offenders_1.sex_code,offenders_2.age_num,offenders_2.age_range_high_num,offenders_2.age_range_low_num,offenders_2.age.age_code,offenders_2.age.age_name,offenders_2.ethnicity,offenders_2.ff_line_number,offenders_2.race.end_year,offenders_2.race.notes,offenders_2.race.race_code,offenders_2.race.race_desc,offenders_2.race.start_year,offenders_2.sex_code,offenders_3.age_num,offenders_3.age_range_high_num,offenders_3.age_range_low_num,offenders_3.age.age_code,offenders_3.age.age_name,offenders_3.ethnicity,offenders_3.ff_line_number,offenders_3.race.end_year,offenders_3.race.notes,offenders_3.race.race_code,offenders_3.race.race_desc,offenders_3.race.start_year,offenders_3.sex_code,offenders_4.age_num,offenders_4.age_range_high_num,offenders_4.age_range_low_num,offenders_4.age.age_code,offenders_4.age.age_name,offenders_4.ethnicity,offenders_4.ff_line_number,offenders_4.race.end_year,offenders_4.race.notes,offenders_4.race.race_code,offenders_4.race.race_desc,offenders_4.race.start_year,offenders_4.sex_code,offenses_0.attempt_complete_flag,offenses_0.ff_line_number,offenses_0.location.location_code,offenses_0.location.location_name,offenses_0.method_entry_code,offenses_0.num_premises_entered,offenses_0.offense_type.crime_against,offenses_0.offense_type.ct_flag,offenses_0.offense_type.hc_code,offenses_0.offense_type.hc_flag,offenses_0.offense_type.offense_category_name,offenses_0.offense_type.offense_code,offenses_0.offense_type.offense_name,offenses_1.attempt_complete_flag,offenses_1.ff_line_number,offenses_1.location.location_code,offenses_1.location.location_name,offenses_1.method_entry_code,offenses_1.num_premises_entered,offenses_1.offense_type.crime_against,offenses_1.offense_type.ct_flag,offenses_1.offense_type.hc_code,offenses_1.offense_type.hc_flag,offenses_1.offense_type.offense_category_name,offenses_1.offense_type.offense_code,offenses_1.offense_type.offense_name,offenses_2.attempt_complete_flag,offenses_2.ff_line_number,offenses_2.location.location_code,offenses_2.location.location_name,offenses_2.method_entry_code,offenses_2.num_premises_entered,offenses_2.offense_type.crime_against,offenses_2.offense_type.ct_flag,offenses_2.offense_type.hc_code,offenses_2.offense_type.hc_flag,offenses_2.offense_type.offense_category_name,offenses_2.offense_type.offense_code,offenses_2.offense_type.offense_name,offenses_3.attempt_complete_flag,offenses_3.ff_line_number,offenses_3.location.location_code,offenses_3.location.location_name,offenses_3.method_entry_code,offenses_3.num_premises_entered,offenses_3.offense_type.crime_against,offenses_3.offense_type.ct_flag,offenses_3.offense_type.hc_code,offenses_3.offense_type.hc_flag,offenses_3.offense_type.offense_category_name,offenses_3.offense_type.offense_code,offenses_3.offense_type.offense_name,property_0.ff_line_number,property_0.prop_loss.prop_loss_name,property_0.recovered_count,property_0.stolen_count,property_1.ff_line_number,property_1.prop_loss.prop_loss_name,property_1.recovered_count,property_1.stolen_count,property_2.ff_line_number,property_2.prop_loss.prop_loss_name,property_2.recovered_count,property_2.stolen_count,property_3.ff_line_number,property_3.prop_loss.prop_loss_name,property_3.recovered_count,property_3.stolen_count,property_4.ff_line_number,property_4.prop_loss.prop_loss_name,property_4.recovered_count,property_4.stolen_count,property_5.ff_line_number,property_5.prop_loss.prop_loss_name,property_5.recovered_count,property_5.stolen_count,property_6.ff_line_number,property_6.prop_loss.prop_loss_name,property_6.recovered_count,property_6.stolen_count,property_7.ff_line_number,property_7.prop_loss.prop_loss_name,property_7.recovered_count,property_7.stolen_count,property_8.ff_line_number,property_8.prop_loss.prop_loss_name,property_8.recovered_count,property_8.stolen_count,relationships_0.nibrs_victim_offender_id,relationships_0.offender,relationships_0.relationship_.relationship_code,relationships_0.relationship_.relationship_id,relationships_0.relationship_.relationship_name,relationships_0.victim,relationships_1.nibrs_victim_offender_id,relationships_1.offender,relationships_1.relationship_.relationship_code,relationships_1.relationship_.relationship_id,relationships_1.relationship_.relationship_name,relationships_1.victim,relationships_2.nibrs_victim_offender_id,relationships_2.offender,relationships_2.relationship_.relationship_code,relationships_2.relationship_.relationship_id,relationships_2.relationship_.relationship_name,relationships_2.victim,relationships_3.nibrs_victim_offender_id,relationships_3.offender,relationships_3.relationship_.relationship_code,relationships_3.relationship_.relationship_id,relationships_3.relationship_.relationship_name,relationships_3.victim,relationships_4.nibrs_victim_offender_id,relationships_4.offender,relationships_4.relationship_.relationship_code,relationships_4.relationship_.relationship_id,relationships_4.relationship_.relationship_name,relationships_4.victim,report_date_flag,submission_date,victims_0.activity_type,victims_0.age,victims_0.age_num,victims_0.age_range_high_num,victims_0.age_range_low_num,victims_0.age.age_code,victims_0.age.age_name,victims_0.agency_data_year,victims_0.assignment_type,victims_0.ethnicity,victims_0.ethnicity.ethnicity_code,victims_0.ethnicity.ethnicity_name,victims_0.ethnicity.hc_flag,victims_0.ff_line_number,victims_0.incident,victims_0.outside_agency_id,victims_0.race,victims_0.race.end_year,victims_0.race.notes,victims_0.race.race_code,victims_0.race.race_desc,victims_0.race.start_year,victims_0.resident_status_code,victims_0.sex_code,victims_0.victim_type.victim_type_code,victims_0.victim_type.victim_type_name,victims_1.activity_type,victims_1.age,victims_1.age_num,victims_1.age_range_high_num,victims_1.age_range_low_num,victims_1.age.age_code,victims_1.age.age_name,victims_1.agency_data_year,victims_1.assignment_type,victims_1.ethnicity,victims_1.ethnicity.ethnicity_code,victims_1.ethnicity.ethnicity_name,victims_1.ethnicity.hc_flag,victims_1.ff_line_number,victims_1.incident,victims_1.outside_agency_id,victims_1.race,victims_1.race.end_year,victims_1.race.notes,victims_1.race.race_code,victims_1.race.race_desc,victims_1.race.start_year,victims_1.resident_status_code,victims_1.sex_code,victims_1.victim_type.victim_type_code,victims_1.victim_type.victim_type_name,victims_2.activity_type,victims_2.age,victims_2.age_num,victims_2.age_range_high_num,victims_2.age_range_low_num,victims_2.age.age_code,victims_2.age.age_name,victims_2.agency_data_year,victims_2.assignment_type,victims_2.ethnicity,victims_2.ethnicity.ethnicity_code,victims_2.ethnicity.ethnicity_name,victims_2.ethnicity.hc_flag,victims_2.ff_line_number,victims_2.incident,victims_2.outside_agency_id,victims_2.race,victims_2.race.end_year,victims_2.race.notes,victims_2.race.race_code,victims_2.race.race_desc,victims_2.race.start_year,victims_2.resident_status_code,victims_2.sex_code,victims_2.victim_type.victim_type_code,victims_2.victim_type.victim_type_name,victims_3.activity_type,victims_3.age_num,victims_3.age_range_high_num,victims_3.age_range_low_num,victims_3.age.age_code,victims_3.age.age_name,victims_3.agency_data_year,victims_3.assignment_type,victims_3.ethnicity,victims_3.ethnicity.ethnicity_code,victims_3.ethnicity.ethnicity_name,victims_3.ethnicity.hc_flag,victims_3.ff_line_number,victims_3.incident,victims_3.outside_agency_id,victims_3.race.end_year,victims_3.race.notes,victims_3.race.race_code,victims_3.race.race_desc,victims_3.race.start_year,victims_3.resident_status_code,victims_3.sex_code,victims_3.victim_type.victim_type_code,victims_3.victim_type.victim_type_name
1991-04-30T00:00:00+00:00,14636,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Dayton,,,,CI,,Cincinnati,3160,310S,Y,OH0570200,DAYTON,OH0570200,City (1-7),City,2,Dayton,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,DAYTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-11-02T00:00:00+00:00,2,0,N,5,None,,,,,21,,,AG,Age in Years,,,,,,W,White,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25016544,85984882,ST,24,Victim Was Stranger,83057450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,AG,Age in Years,,,,N,Not Hispanic or Latino,Y,,76192017,,,,,W,White,,U,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14180,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OH0131600,UNION TOWNSHIP,OH0131600,City (1-7),City,2,"Union Township, Clermont County",N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,UNION TOWNSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-10-21T00:00:00+00:00,11,0,N,5,None,,,,,25,,,AG,Age in Years,,,,,,W,White,,F,21,,,AG,Age in Years,,,,,W,White,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24315244,83276127,AQ,1,Victim Was Acquaintance,80401401,25326483,83276128,AQ,1,Victim Was Acquaintance,80401401,,,,,,,,,,,,,,,,,,,R,,,,12,,,AG,Age in Years,,,,N,Not Hispanic or Latino,Y,,73857521,,,,,W,White,,R,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14797,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Akron,,,,CV,,Cleveland,3170,305N,Y,OH0770100,AKRON,OH0770100,City (1-7),City,2,Akron,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,AKRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-07-28T00:00:00+00:00,4,0,N,5,None,,,,,33,,,AG,Age in Years,,,,,,B,Black or African American,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,14,Hotel/Motel/Etc.,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25173128,85256894,RU,18,Relationship Unknown,82379245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,AG,Age in Years,,,,,,,,75592741,,,,,W,White,,R,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14929,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OHCIP0000,CINCINNATI,OHCIP0000,City (1-7),City,2,Cincinnati,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CINCINNATI,29,,,AG,Age in Years,2014-08-14T00:00:00+00:00,2603181,3,,,N,Not Hispanic or Latino,Y,,N,,,B,Black or African American,,R,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-05-10T00:00:00+00:00,4,0,M,4,Minor Injury,,,,,29,,,AG,Age in Years,,,,,,B,Black or African American,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,13,Highway/Road/Ally,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25050712,82564719,ST,24,Victim Was Stranger,79705354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,AG,Age in Years,,,,N,Not Hispanic or Latino,Y,,73232056,,,,,W,White,,R,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-09-06T00:00:00+00:00,0,0,M,4,Minor Injury,,,,,16,,,AG,Age in Years,,,,,,B,Black or African American,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24874066,85002730,AQ,1,Victim Was Acquaintance,82156095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,AG,Age in Years,,,,H,Hispanic or Latino,Y,,75465501,,,,,W,White,,R,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14427,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OH0314200,COLERAIN TOWNSHIP,OH0314200,City (1-7),City,2,Colerain Township,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLERAIN TOWNSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-09-03T00:00:00+00:00,22,0,M,4,Minor Injury,,,,,17,,,AG,Age in Years,,,,,,B,Black or African American,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,3,Bar/Nightclub,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24091931,86456977,ST,24,Victim Was Stranger,83559105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,AG,Age in Years,,,,U,Unknown,Y,,76784612,,,,,W,White,,U,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14373,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Fairborn,,,,CI,,Cincinnati,3160,310S,Y,OH0290100,FAIRBORN,OH0290100,City (1-7),City,2,Fairborn,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,FAIRBORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-01-26T00:00:00+00:00,10,0,N,5,None,,,,,25,,,AG,Age in Years,,,,,,W,White,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25094299,86551224,SE,21,Victim Was Spouse,83627774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,AG,Age in Years,,,,N,Not Hispanic or Latino,Y,,76666005,,,,,W,White,,R,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14797,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Akron,,,,CV,,Cleveland,3170,305N,Y,OH0770100,AKRON,OH0770100,City (1-7),City,2,Akron,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,AKRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-06-14T00:00:00+00:00,1,0,N,5,None,,,,,54,,,AG,Age in Years,,,,,,B,Black or African American,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24932838,85236700,FR,9,Victim Was Friend,82357907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,AG,Age in Years,,,,,,,,75575280,,,,,W,White,,U,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-01-30T00:00:00+00:00,7,0,N,5,None,,,,,6,,,AG,Age in Years,,,,,,B,Black or African American,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24970219,82718882,OK,16,Victim was Otherwise Known,79852439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,AG,Age in Years,,,,U,Unknown,Y,,73359525,,,,,B,Black or African American,,R,M,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30T00:00:00+00:00,14634,A,County,3,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,,,,,CI,,Cincinnati,3160,310S,Y,OH0570000,MONTGOMERY,OH0570000,"County (8A-8D,9A-9D)",County,3,Montgomery,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,MONTGOMERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Not Applicable,,,2014-07-09T00:00:00+00:00,13,0,N,5,None,,,,,37,,,AG,Age in Years,,,,,,B,Black or African American,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,20,Residence/Home,,,Person,N,2,Y,Sex Offenses,11A,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25247422,85879581,AQ,1,Victim Was Acquaintance,82954302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,AG,Age in Years,,,,N,Not Hispanic or Latino,Y,,76107491,,,,,B,Black or African American,,U,F,I,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
